covariate,bin,n,mean,rmse
slope_deg,0.85-25.37,9482,-260.4414380742789,261.5678907771433
slope_deg,25.37-29.13,9482,-256.55187357460187,257.65704840315567
slope_deg,29.13-32.71,9481,-260.7821877307246,261.7329505266611
slope_deg,32.71-37.09,9482,-268.2121609323916,268.9835678589011
slope_deg,37.09-90.00,9482,-272.0421646977497,272.8307786375911
brightness,-0.15-0.47,9482,-253.77825635496862,254.67944796990903
brightness,0.47-0.51,9482,-259.1179493258608,260.02945679867116
brightness,0.51-0.54,9481,-262.6216411029295,263.5383272465352
brightness,0.54-0.58,9482,-268.2617332717583,269.19350557006567
brightness,0.58-1.18,9482,-274.2504389484682,275.1425340446577
texture_std,0.00-0.02,9482,-266.861355211684,267.9038341504921
texture_std,0.02-0.02,9482,-265.6207569687961,266.65715854805205
texture_std,0.02-0.03,9481,-264.0190603245966,265.0253252261966
texture_std,0.03-0.04,9482,-263.0416733267639,263.9733699203055
texture_std,0.04-0.30,9482,-258.4873205481438,259.4208209185694
