tile_id,row0,col0,rows,cols,lon_min,lon_max,lat_min,lat_max,mean_elev_m,std_elev_m,min_elev_m,max_elev_m,mean_slope_deg,p95_slope_deg,valid_frac
T000_000,0,0,512,512,352.999023,353.999023,12.000977,13.000977,-1304.83,52.8,-1993.16,-1108.09,3.197,8.565,1.0
T000_001,0,512,512,512,353.999023,354.999023,12.000977,13.000977,-1191.33,59.48,-1403.03,-977.22,3.339,8.956,1.0
T000_002,0,1024,512,512,354.999023,355.999023,12.000977,13.000977,-969.38,218.55,-2054.97,-277.21,5.392,15.16,1.0
T000_003,0,1536,512,512,355.999023,356.999023,12.000977,13.000977,-539.55,108.02,-1425.2,-179.14,6.167,16.627,1.0
T000_004,0,2048,512,512,356.999023,357.999023,12.000977,13.000977,-703.28,119.72,-1051.62,-395.96,4.984,11.342,1.0
T000_005,0,2560,512,512,357.999023,358.999023,12.000977,13.000977,-764.81,135.57,-1045.72,-339.8,5.485,11.67,1.0
T001_000,512,0,512,512,352.999023,353.999023,11.000977,12.000977,-1204.51,130.57,-1628.86,-859.01,3.385,9.279,1.0
T001_001,512,512,512,512,353.999023,354.999023,11.000977,12.000977,-1069.72,32.02,-1287.86,-940.41,2.858,7.088,1.0
T001_002,512,1024,512,512,354.999023,355.999023,11.000977,12.000977,-970.42,132.14,-1235.66,-168.89,3.611,9.545,1.0
T001_003,512,1536,512,512,355.999023,356.999023,11.000977,12.000977,-637.69,126.17,-985.8,-161.19,5.38,11.763,1.0
T001_004,512,2048,512,512,356.999023,357.999023,11.000977,12.000977,-830.21,92.68,-1090.11,-490.12,5.24,11.301,1.0
T001_005,512,2560,512,512,357.999023,358.999023,11.000977,12.000977,-760.95,190.45,-1227.64,-275.77,6.178,13.481,1.0
T002_000,1024,0,512,512,352.999023,353.999023,10.000977,11.000977,-1036.46,68.42,-1372.16,-932.97,3.058,8.72,1.0
T002_001,1024,512,512,512,353.999023,354.999023,10.000977,11.000977,-1019.46,102.45,-1301.54,-461.99,4.861,15.443,1.0
T002_002,1024,1024,512,512,354.999023,355.999023,10.000977,11.000977,-939.73,110.74,-1314.13,-447.59,5.976,14.331,1.0
T002_003,1024,1536,512,512,355.999023,356.999023,10.000977,11.000977,-869.11,104.98,-1213.62,-346.52,4.318,11.556,1.0
T002_004,1024,2048,512,512,356.999023,357.999023,10.000977,11.000977,-751.91,108.7,-1640.81,-212.37,6.261,13.693,1.0
T002_005,1024,2560,512,512,357.999023,358.999023,10.000977,11.000977,-597.0,113.3,-912.59,-289.51,5.288,11.196,1.0
T003_000,1536,0,512,512,352.999023,353.999023,9.000977,10.000977,-988.46,70.25,-1220.39,-297.5,3.633,12.092,1.0
T003_001,1536,512,512,512,353.999023,354.999023,9.000977,10.000977,-799.12,210.94,-1150.49,193.43,7.861,20.241,1.0
T003_002,1536,1024,512,512,354.999023,355.999023,9.000977,10.000977,-800.76,157.26,-1616.64,-147.79,7.409,16.464,1.0
T003_003,1536,1536,512,512,355.999023,356.999023,9.000977,10.000977,-862.64,148.21,-1149.97,-252.32,4.769,11.768,1.0
T003_004,1536,2048,512,512,356.999023,357.999023,9.000977,10.000977,-642.13,308.8,-1132.34,158.01,6.616,16.77,1.0
T003_005,1536,2560,512,512,357.999023,358.999023,9.000977,10.000977,-215.93,321.93,-2064.99,995.84,7.165,26.765,1.0
T004_000,2048,0,512,512,352.999023,353.999023,8.000977,9.000977,-877.44,183.81,-1739.6,-249.91,6.64,18.611,1.0
T004_001,2048,512,512,512,353.999023,354.999023,8.000977,9.000977,-817.26,159.87,-1400.32,-97.64,6.568,15.392,1.0
T004_002,2048,1024,512,512,354.999023,355.999023,8.000977,9.000977,-647.45,124.64,-1122.36,-285.08,5.984,13.476,1.0
T004_003,2048,1536,512,512,355.999023,356.999023,8.000977,9.000977,-545.91,260.69,-2154.44,66.84,7.747,24.783,1.0
T004_004,2048,2048,512,512,356.999023,357.999023,8.000977,9.000977,-553.09,280.17,-1539.01,248.4,6.652,15.035,1.0
T004_005,2048,2560,512,512,357.999023,358.999023,8.000977,9.000977,-126.0,287.56,-2077.69,785.59,6.786,27.269,1.0
