axis,position_km,median_m,q25_m,q75_m,n
along_track,0.568,-3.36,-8.53,1.684,340335
along_track,1.705,-5.733,-11.739,2.399,386474
along_track,2.843,3.132,-4.951,8.504,387576
along_track,3.98,-0.417,-5.616,6.43,384747
along_track,5.12,-7.748,-16.027,-2.844,385636
along_track,6.257,-7.465,-15.952,-0.865,386081
along_track,7.394,-10.798,-22.594,0.779,388685
along_track,8.534,-1.575,-7.566,3.251,397692
along_track,9.671,0.993,-4.515,6.271,398008
along_track,10.809,2.85,-1.239,8.492,399295
along_track,11.948,-1.231,-6.171,10.166,396947
along_track,13.085,-4.91,-9.386,1.687,391831
along_track,14.223,-7.756,-14.476,-0.237,397658
along_track,15.362,-4.123,-9.267,-0.461,396283
along_track,16.499,-6.456,-11.948,9.429,397778
along_track,17.637,-0.211,-5.843,6.808,401933
along_track,18.776,6.028,0.321,17.593,411143
along_track,19.913,6.205,2.506,10.266,400710
along_track,21.051,0.784,-2.134,3.29,400745
along_track,22.19,-4.714,-8.831,-1.137,402975
along_track,23.328,-12.981,-17.956,-6.055,401708
along_track,24.465,-9.273,-14.642,-3.062,405682
along_track,25.602,-10.044,-14.462,-5.239,406937
along_track,26.74,-20.179,-24.406,-15.863,420075
along_track,27.879,-4.366,-12.501,8.469,428113
along_track,29.017,6.41,0.623,10.92,422525
along_track,30.154,8.584,-2.307,17.174,416423
along_track,31.293,7.055,-6.656,14.658,411895
along_track,32.431,8.411,-0.64,21.49,416935
along_track,33.568,0.496,-3.511,4.853,426359
along_track,34.707,2.642,-0.482,6.439,429475
along_track,35.845,1.058,-5.433,7.712,429860
along_track,36.982,6.296,-0.758,13.52,432792
along_track,38.121,-0.722,-5.394,3.777,429543
along_track,39.259,-2.013,-6.136,2.657,429417
along_track,40.396,15.3,10.055,25.206,429058
along_track,41.535,22.827,18.754,26.6,422787
along_track,42.673,21.206,13.63,26.394,414699
along_track,43.81,3.271,-0.001,6.115,410787
along_track,44.95,2.628,-1.566,6.518,361021
across_swath,0.089,-9.347,-14.009,-4.544,22315
across_swath,0.266,-8.289,-14.974,0.243,56917
across_swath,0.445,-3.068,-7.864,1.207,97666
across_swath,0.624,-4.312,-13.163,0.09,157864
across_swath,0.803,-1.795,-9.263,6.367,197808
across_swath,0.982,0.245,-7.45,6.219,225662
across_swath,1.159,-0.834,-8.344,4.863,278580
across_swath,1.338,-1.516,-7.673,5.257,323435
across_swath,1.517,-1.473,-8.516,4.521,352586
across_swath,1.696,-1.789,-7.28,3.468,402917
across_swath,1.874,-2.359,-8.573,3.437,461757
across_swath,2.052,-2.072,-9.695,4.218,491664
across_swath,2.231,-2.642,-10.585,4.186,553747
across_swath,2.41,-3.292,-10.947,4.888,600675
across_swath,2.588,-3.572,-11.081,5.536,646836
across_swath,2.767,-3.834,-10.91,5.096,669661
across_swath,2.945,-3.154,-10.482,5.609,694004
across_swath,3.124,-2.547,-9.884,5.813,730972
across_swath,3.302,-1.539,-8.625,5.057,746570
across_swath,3.481,-1.409,-8.378,5.243,762142
across_swath,3.66,-1.129,-7.451,5.596,737929
across_swath,3.838,0.098,-6.503,6.437,704099
across_swath,4.016,0.423,-5.331,7.698,678064
across_swath,4.195,0.568,-5.283,9.038,629140
across_swath,4.374,1.254,-4.626,8.443,602544
across_swath,4.553,2.537,-4.142,9.545,553584
across_swath,4.73,3.159,-6.249,10.54,515215
across_swath,4.909,2.558,-7.581,10.635,485649
across_swath,5.088,2.505,-6.601,10.375,441226
across_swath,5.267,2.673,-6.861,12.041,408705
across_swath,5.446,5.422,-5.581,16.75,364289
across_swath,5.623,6.188,-1.586,21.342,332543
across_swath,5.802,8.63,0.796,22.97,304456
across_swath,5.981,7.229,1.135,24.145,257812
across_swath,6.16,4.879,0.583,17.855,217237
across_swath,6.339,5.577,0.845,15.834,175087
across_swath,6.516,8.348,3.813,20.372,138722
across_swath,6.695,11.919,4.729,21.339,102244
across_swath,6.874,9.505,5.184,14.983,57498
across_swath,7.053,10.54,-0.172,16.416,18802
