rank,lon,lat,diam_km,area_px,verdict,note
1,355.60326,9.10084,4.623,4786,,
2,356.14225,12.91148,4.567,4672,,
3,357.89134,10.84314,4.564,4666,,
4,355.57547,8.85135,4.343,4224,,
5,354.87804,8.42039,4.254,4053,,
6,356.8191,12.70004,4.212,3973,,
7,357.2839,9.91436,4.036,3648,,
8,358.24555,11.79454,3.931,3460,,
9,355.6009,8.33688,3.747,3145,,
10,357.43955,10.2716,3.672,3020,,
11,355.42506,9.07372,3.553,2827,,
12,354.9189,8.68566,3.546,2816,,
13,358.81587,11.26798,3.498,2740,,
14,357.14539,10.63714,3.418,2617,,
15,357.95754,9.62215,3.407,2599,,
16,355.07203,10.56599,3.38,2559,,
17,358.01423,11.58757,3.363,2533,,
18,358.70024,12.39389,3.353,2518,,
19,355.25088,9.36416,3.205,2300,,
20,357.77179,10.16949,3.175,2258,,
21,357.39988,12.68935,3.159,2235,,
22,354.83829,8.29332,3.12,2180,,
23,357.32643,8.26027,3.095,2145,,
24,356.38851,8.16409,3.09,2138,,
25,355.21737,8.46498,3.031,2058,,
26,355.05858,8.25125,3.014,2034,,
27,353.87853,8.43518,3.002,2018,,
28,355.64014,8.58934,2.982,1991,,
29,355.59926,9.32518,2.954,1954,,
30,358.22493,12.27909,2.802,1758,,
31,355.4696,8.40889,2.781,1732,,
32,357.83074,11.71587,2.732,1672,,
33,355.67098,10.18402,2.644,1566,,
34,355.23357,10.26047,2.628,1547,,
35,357.32017,10.06514,2.585,1496,,
36,354.04089,9.53693,2.577,1487,,
37,353.26003,9.14578,2.548,1454,,
38,356.60789,12.65848,2.522,1424,,
39,355.64667,8.74997,2.492,1391,,
40,355.42131,10.43305,2.482,1380,,
41,358.12,11.44991,2.442,1336,,
42,356.3577,12.77031,2.43,1323,,
43,356.56529,11.8767,2.407,1298,,
44,354.75491,10.19429,2.384,1273,,
45,356.31704,12.05757,2.383,1272,,
46,357.64121,10.73123,2.381,1270,,
47,355.65471,10.09766,2.35,1237,,
48,354.60565,8.71001,2.341,1227,,
49,357.34549,11.18632,2.334,1220,,
50,358.7848,12.30959,2.33,1216,,
51,356.54374,11.72366,2.317,1202,,
52,357.76769,8.24209,2.307,1192,,
53,358.93116,10.2619,2.281,1165,,
54,356.47101,12.71137,2.277,1161,,
55,356.09736,11.02064,2.272,1156,,
56,355.05817,9.04461,2.257,1141,,
57,355.80466,10.20467,2.243,1127,,
58,358.35087,12.80907,2.237,1121,,
59,353.21209,8.24041,2.225,1109,,
60,355.72717,9.45755,2.223,1107,,
61,357.31379,9.79836,2.222,1106,,
62,358.29237,12.589,2.216,1100,,
63,357.42604,10.53864,2.182,1066,,
64,357.16782,10.29491,2.17,1055,,
65,355.79672,11.34602,2.169,1054,,
66,358.20181,12.42708,2.148,1033,,
67,355.59588,9.47906,2.137,1023,,
68,357.01922,8.75956,2.126,1012,,
69,357.05125,10.13864,2.116,1003,,
70,358.95476,10.35624,2.102,990,,
71,357.564,11.57085,2.09,978,,
72,355.10238,9.21804,2.079,968,,
73,357.83753,12.79407,2.077,966,,
74,354.42484,10.72288,2.065,955,,
75,358.60521,10.85218,2.062,952,,
76,355.31642,10.37111,2.061,951,,
77,356.7093,12.02746,2.058,949,,
78,355.8641,9.46953,2.056,947,,
79,356.42473,9.42607,2.051,942,,
80,357.04196,10.44672,2.03,923,,
81,357.25326,11.12675,2.007,902,,
82,358.89404,9.0964,2.001,897,,
83,354.07902,9.80222,1.992,889,,
84,354.13583,9.37205,1.965,865,,
85,355.32435,10.12963,1.957,858,,
86,356.19314,12.03099,1.947,849,,
87,357.40823,10.63449,1.939,842,,
88,355.63906,9.83351,1.932,836,,
89,353.40082,9.56228,1.927,832,,
90,356.33795,8.8254,1.923,828,,
91,355.56613,9.93417,1.92,826,,
92,356.04212,12.32984,1.902,810,,
93,356.48441,12.41166,1.876,788,,
94,355.31024,8.36475,1.854,770,,
95,354.78673,8.69317,1.853,769,,
96,358.27781,12.38186,1.851,767,,
97,356.1684,12.58954,1.842,760,,
98,355.71476,8.67396,1.823,744,,
99,355.28156,8.97548,1.809,733,,
100,355.52953,8.57443,1.809,733,,
101,357.56817,9.38304,1.788,716,,
102,358.03927,11.39033,1.782,711,,
103,355.65228,9.5394,1.779,709,,
104,357.11532,12.45274,1.774,705,,
105,354.11918,9.74816,1.765,698,,
106,355.71024,8.24723,1.754,689,,
107,357.92963,12.57716,1.751,687,,
108,355.53429,10.28322,1.751,687,,
109,354.87835,8.88875,1.749,685,,
110,355.75219,8.33946,1.742,680,,
111,356.02894,10.02791,1.735,674,,
112,354.75453,8.33335,1.735,674,,
113,358.37379,12.98195,1.733,673,,
114,354.5284,8.79236,1.732,672,,
115,357.18735,8.1849,1.732,672,,
116,356.40498,11.26146,1.726,667,,
117,356.4401,12.02744,1.713,657,,
118,358.16259,10.46805,1.698,646,,
119,358.06309,11.05202,1.688,638,,
120,355.07143,8.83512,1.686,637,,
121,358.65216,10.65954,1.68,632,,
122,355.52433,10.35713,1.673,627,,
123,355.37502,8.74745,1.664,620,,
124,355.75605,10.02361,1.662,619,,
125,355.88839,10.24815,1.65,610,,
126,357.69068,8.7541,1.649,609,,
127,358.39688,10.82344,1.645,606,,
128,355.46494,9.47991,1.644,605,,
129,358.02877,10.68,1.641,603,,
130,356.85183,12.58161,1.64,602,,
131,356.88546,9.33713,1.64,602,,
132,355.32178,9.21926,1.635,599,,
133,357.82956,11.47653,1.633,597,,
134,356.31842,8.98054,1.622,589,,
135,354.41947,9.77832,1.618,586,,
136,354.5257,8.72506,1.613,583,,
137,356.20867,8.37169,1.609,580,,
138,358.14733,11.69399,1.605,577,,
139,357.93291,11.47893,1.601,574,,
140,358.02804,12.47395,1.583,561,,
141,355.41845,10.33562,1.583,561,,
142,357.8684,9.57285,1.578,558,,
143,356.25855,8.40931,1.576,556,,
144,357.61328,10.98109,1.571,553,,
145,355.79747,8.46583,1.57,552,,
146,357.91993,12.74449,1.566,549,,
147,356.52865,8.86221,1.566,549,,
148,357.24505,10.17077,1.564,548,,
149,356.20878,8.1321,1.561,546,,
150,355.91829,10.44802,1.559,544,,
151,357.8868,10.3938,1.556,542,,
152,357.16685,9.90017,1.554,541,,
153,356.69676,11.78051,1.547,536,,
154,356.45954,11.6763,1.541,532,,
155,356.40689,11.96062,1.538,530,,
156,356.32665,8.26165,1.534,527,,
157,357.14937,9.97113,1.531,525,,
158,356.86627,10.62387,1.519,517,,
159,355.02853,10.42399,1.516,515,,
160,354.66086,8.425,1.511,511,,
161,355.15313,8.11107,1.511,511,,
162,358.4775,11.69571,1.509,510,,
163,356.54454,11.47673,1.509,510,,
164,358.15114,12.35739,1.506,508,,
165,354.79105,9.11576,1.506,508,,
166,358.53761,10.73139,1.505,507,,
167,355.69471,8.79816,1.503,506,,
168,356.9593,11.67192,1.496,501,,
169,358.12357,11.23269,1.496,501,,
170,357.41582,10.7088,1.496,501,,
171,354.56448,8.38545,1.485,494,,
172,357.98577,12.58311,1.484,493,,
173,356.10666,12.09436,1.472,485,,
174,358.0593,12.31588,1.47,484,,
175,355.39016,9.24441,1.469,483,,
176,357.40535,9.96312,1.458,476,,
177,356.47209,11.58785,1.456,475,,
178,354.70396,8.79862,1.456,475,,
179,357.58015,10.68763,1.453,473,,
180,356.95207,12.53652,1.439,464,,
181,357.79556,12.47899,1.435,461,,
182,357.15988,11.88188,1.435,461,,
183,358.14162,9.9241,1.432,459,,
184,356.13656,8.15277,1.43,458,,
185,357.97017,9.80516,1.427,456,,
186,357.12928,12.91574,1.424,454,,
187,356.44895,9.1923,1.422,453,,
