lon,lat,diam_km,reason
356.509,8.02747,3.695,
357.108,10.1863,3.259,
358.5,11.5295,3.081,
354.918,10.6401,3.053,
357.108,10.515,2.993,
355.713,9.00746,2.966,
355.545,8.78918,2.875,
357.976,11.1722,2.754,
357.329,9.88685,2.647,
356.846,12.7389,2.636,
357.247,10.9092,2.59,
355.963,9.8986,2.39,
356.228,11.7673,2.356,
354.299,8.33117,2.331,
358.01,11.7326,2.312,
354.21,8.27612,2.232,
357.909,11.8447,2.23,
353.321,8.92258,2.221,
357.707,8.19167,2.202,
357.841,9.31069,2.195,
354.982,8.68831,2.187,
356.258,8.552,2.173,
357.287,10.4651,2.152,
356.817,12.6447,2.103,
358.851,11.2768,2.075,
358.096,11.5641,2.07,
356.348,8.17848,2.057,
354.366,8.19889,2.049,
356.349,8.08155,2.029,
357.618,9.41212,1.994,
357.931,10.8256,1.953,
357.67,9.58096,1.95,
357.119,10.6774,1.929,
357.608,10.5514,1.922,
354.185,8.3172,1.911,
357.47,10.3089,1.897,
358.379,9.02239,1.895,
358.047,11.5384,1.878,
358.583,8.52066,1.848,
358.782,11.2469,1.845,
357.599,9.48936,1.838,
354.242,8.19811,1.822,
358.016,11.661,1.794,
353.359,8.87095,1.762,
358.06,9.62926,1.736,
355.572,11.1254,1.693,
355.483,8.37307,1.677,
358.614,12.8661,1.664,
353.582,8.12961,1.659,
355.788,8.91067,1.652,
355.563,10.6212,1.638,
357.388,12.718,1.637,
355.693,12.6228,1.637,
356.053,12.068,1.636,
357.853,11.5705,1.628,
353.257,9.11303,1.618,
354.836,8.26021,1.618,
357.175,10.6483,1.611,
358.79,11.5056,1.601,
353.147,8.98713,1.593,
355.236,10.7255,1.584,
358.019,9.28229,1.581,
358.057,9.3544,1.57,
353.294,8.82024,1.568,
353.118,8.49464,1.566,
358.31,11.7175,1.553,
358.889,12.033,1.524,
357.82,10.8319,1.509,
358.056,8.05337,1.509,
358.274,9.84062,1.5,
357.188,10.6055,1.495,
357.537,9.95432,1.49,
357.972,9.66533,1.485,
357.844,9.34951,1.478,
357.747,8.51042,1.474,
354.401,8.14144,1.456,
353.28,9.15969,1.455,
355.052,10.5503,1.454,
353.182,12.136,1.453,
356.695,8.00979,1.453,
354.311,8.1784,1.452,
354.765,10.4215,1.452,
354.642,10.513,1.452,
357.801,10.161,1.44,
355.822,8.9107,1.428,
356.718,12.8392,1.426,
357.436,12.6343,1.425,
355.473,8.45432,1.423,
356.637,11.5609,1.422,
357.646,9.16885,1.403,
355.562,8.36116,1.4,
353.272,11.9217,1.392,
353.183,8.24786,1.383,
357.203,8.16711,1.382,
357.973,11.631,1.371,
353.303,9.14479,1.367,
357.597,9.20939,1.365,
358.846,8.06913,1.359,
357.439,8.06098,1.354,
358.042,9.32237,1.342,
358.189,9.27227,1.34,
357.571,9.51611,1.339,
356.854,11.7189,1.338,
355.235,10.0175,1.336,
354.346,8.03768,1.334,
358.514,12.9358,1.332,
358.598,11.144,1.316,
357.853,8.00239,1.301,
357.05,10.5225,1.296,
357.578,12.1708,1.293,
358.38,8.03573,1.284,
357.78,11.3377,1.281,
354.0,9.71736,1.272,
356.981,10.3685,1.269,
357.425,12.6747,1.268,
356.877,11.6442,1.268,
357.365,10.462,1.262,
354.054,8.92725,1.261,
357.511,9.0043,1.257,
357.06,8.36045,1.255,
358.661,12.7598,1.254,
358.973,11.4502,1.249,
353.436,8.45051,1.247,
358.198,10.0909,1.246,
355.722,9.89786,1.239,
358.261,9.00468,1.238,
357.536,9.33489,1.232,
358.273,12.2552,1.224,
357.796,10.1989,1.224,
356.557,11.7411,1.218,
354.513,8.90791,1.215,
358.521,11.6445,1.211,
358.023,9.4606,1.209,
356.796,9.15963,1.209,
357.626,9.18509,1.206,
357.971,10.5653,1.199,
357.008,11.7753,1.196,
356.954,10.5442,1.195,
357.188,10.995,1.194,
355.612,8.25626,1.193,
357.168,11.8632,1.192,
357.703,8.25554,1.183,
358.165,10.3278,1.182,
354.163,10.9019,1.182,
358.461,12.6531,1.182,
354.029,9.17518,1.18,
358.174,10.4487,1.177,
357.877,10.1228,1.175,
353.085,10.2965,1.173,
356.758,11.7629,1.171,
357.993,11.2998,1.17,
358.62,12.7423,1.167,
358.957,11.6336,1.165,
355.583,11.4553,1.165,
358.212,11.4056,1.164,
358.134,9.24506,1.161,
358.605,11.5344,1.156,
357.009,11.8418,1.155,
354.08,8.94668,1.144,
357.013,9.79049,1.142,
356.696,11.7576,1.141,
357.139,12.8984,1.138,
354.616,10.332,1.137,
354.2,10.7429,1.135,
355.876,11.8545,1.135,
355.21,8.44559,1.131,
358.063,9.94403,1.129,
355.28,8.45785,1.128,
357.418,10.263,1.115,
354.738,8.2604,1.115,
355.342,9.92359,1.112,
356.791,8.48297,1.111,
356.468,11.6556,1.109,
353.684,10.6734,1.109,
353.286,11.4638,1.107,
358.955,11.6043,1.102,
